variant,final_scene,final_config,final_psnr,final_ssim,final_lpips,final_num_GS,final_render_mem_GB,auc_psnr_confidence,auc_ssim_confidence,auc_lpips_confidence_lower_better,min_keep_frac_psnr_drop_le_0_10,min_keep_frac_psnr_drop_le_0_25,min_keep_frac_psnr_drop_le_0_50,psnr_at_keep_25,psnr_at_keep_15,psnr_at_keep_10,psnr_at_keep_05,threshold_width_drop_le_0_25,threshold_width_drop_le_0_50,conf_mean,conf_std,conf_var,conf_gini,conf_q05,conf_q50,conf_q95,frac_conf_lt_0_05,frac_conf_lt_0_1,frac_conf_lt_0_25,frac_conf_lt_0_5,beta_entropy
default_rank_margin_0_00,garden,default,27.221630096435547,0.8588961362838741,0.08558001369237901,8268593.0,1.817371647804975,26.3345251334341,0.8339462444970481,0.10229530714844402,0.25,0.25,0.25,27.15933990478516,24.447799682617188,20.541709899902344,15.442133903503418,0.1,0.15,0.08978921175003052,0.1664544641971588,0.027707088738679886,0.7970478589154948,4.894143614819768e-08,7.858980666242132e-08,0.45299773216247535,0.7426258614978388,0.7553352789283497,0.8000680405965078,0.9729256235008785,-699437.375
default_rank_margin_0_05,garden,default,27.232383728027344,0.8584494590759271,0.0857460424304,8237657.0,1.8105721585452552,26.333852667557565,0.8334948467580896,0.10257395984310849,0.25,0.25,0.25,27.148229598999023,24.392004013061523,20.49258804321289,15.42555046081543,0.1,0.2,0.09021575003862381,0.16699577867984772,0.02788759209215641,0.7965260256245859,4.890390883360851e-08,7.855932437905722e-08,0.4540126919746399,0.7418899573021794,0.7544843151396082,0.7993436726001095,0.9725715698043752,-699414.875
default_rank_margin_0_10,garden,default,27.237285614013672,0.858392357826232,0.086190164089202,8245870.0,1.81237731128931,26.34200788799085,0.8337409966870358,0.10281246528029435,0.25,0.25,0.25,27.167015075683597,24.3966121673584,20.49638938903809,15.501626968383787,0.1,0.2,0.0901828408241272,0.16694192588329315,0.027869608253240585,0.7965888423132572,4.890532903090161e-08,7.8599764918863e-08,0.45426971316337583,0.7419054629772237,0.7543861351197629,0.7995219424996999,0.9725397077567316,-699730.125
default_rank_margin_0_25,garden,default,27.19129180908203,0.8577938079833981,0.08620321005582801,8193260.0,1.8008140474557872,26.30652733852989,0.8334605309524035,0.1027287715359738,0.25,0.25,0.25,27.14809799194336,24.341136932373047,20.517824172973636,15.640417098999023,0.15,0.2,0.09043967723846436,0.16744384169578552,0.028037438169121742,0.796578804634946,4.888407456604682e-08,7.830505666106546e-08,0.4557040363550186,0.7424839441199229,0.7547008150601836,0.7985361138301482,0.9719408391775679,-700585.5
default_rank_margin_0_50,garden,default,27.169689178466797,0.8575717806816101,0.086332142353057,8146790.0,1.790600307285785,26.289297906976,0.8329695980799825,0.1030027476188383,0.25,0.25,0.25,27.10678482055664,24.383176803588867,20.488374710083008,15.688604354858398,0.15,0.2,0.09155089408159256,0.16914162039756775,0.028608888387680054,0.7957688165461605,4.883761466345504e-08,7.815084757112345e-08,0.4583989605307579,0.7418848405322833,0.7536853165479901,0.796012662656089,0.970284983410644,-699819.5
default_rank_margin_1_00,garden,default,27.136709213256836,0.8570043444633481,0.086859166622161,8151961.0,1.7917368523776531,26.22246280469393,0.8311215725384261,0.10429826065113665,0.25,0.25,0.25,27.062170028686523,24.15997695922852,20.256275177001957,15.384567260742188,0.15,0.2,0.09398896992206573,0.17579929530620575,0.03090539388358593,0.7975653381451722,4.887358784344542e-08,7.833465076600987e-08,0.4632928669452667,0.7405815606821475,0.7522107870731962,0.794315993415572,0.9675054873299811,-701114.5625
