scene,variant,config,result_dir,ckpt,conf_count,conf_mean,conf_std,conf_var,conf_min,conf_max,conf_gini,beta_entropy,conf_q01,conf_q05,conf_q10,conf_q25,conf_q50,conf_q75,conf_q90,conf_q95,conf_q99,frac_conf_lt_0_05,frac_conf_lt_0_1,frac_conf_lt_0_25,frac_conf_lt_0_5
garden,default_rank_margin_0_00,default,/scratch/amirrz/results/cs_resubmit_rank_margin/garden/default_rank_margin_0_00,/scratch/amirrz/results/cs_resubmit_rank_margin/garden/default_rank_margin_0_00/ckpts/ckpt_29999_rank0.pt,8268593,0.08978921175003052,0.1664544641971588,0.027707088738679886,3.5601580350430595e-08,0.9999999403953552,0.7970478589154948,-699437.375,4.3413620005594565e-08,4.894143614819768e-08,5.2445111009546964e-08,6.05552230581452e-08,7.858980666242132e-08,0.07977351546287537,0.39075616002082825,0.45299773216247535,0.5700346970558167,0.7426258614978388,0.7553352789283497,0.8000680405965078,0.9729256235008785
garden,default_rank_margin_0_05,default,/scratch/amirrz/results/cs_resubmit_rank_margin/garden/default_rank_margin_0_05,/scratch/amirrz/results/cs_resubmit_rank_margin/garden/default_rank_margin_0_05/ckpts/ckpt_29999_rank0.pt,8237657,0.09021575003862381,0.16699577867984772,0.02788759209215641,3.5109653850895484e-08,0.9999999403953552,0.7965260256245859,-699414.875,4.343199933032338e-08,4.890390883360851e-08,5.238622335923537e-08,6.051767797998764e-08,7.855932437905722e-08,0.08298693597316742,0.3915685415267945,0.4540126919746399,0.571490337848663,0.7418899573021794,0.7544843151396082,0.7993436726001095,0.9725715698043752
garden,default_rank_margin_0_10,default,/scratch/amirrz/results/cs_resubmit_rank_margin/garden/default_rank_margin_0_10,/scratch/amirrz/results/cs_resubmit_rank_margin/garden/default_rank_margin_0_10/ckpts/ckpt_29999_rank0.pt,8245870,0.0901828408241272,0.16694192588329315,0.027869608253240585,3.550124461071391e-08,0.9999999403953552,0.7965888423132572,-699730.125,4.343987459520804e-08,4.890532903090161e-08,5.23951126041311e-08,6.052927759014892e-08,7.8599764918863e-08,0.08327873796224594,0.3916820138692857,0.45426971316337583,0.5712251228094096,0.7419054629772237,0.7543861351197629,0.7995219424996999,0.9725397077567316
garden,default_rank_margin_0_25,default,/scratch/amirrz/results/cs_resubmit_rank_margin/garden/default_rank_margin_0_25,/scratch/amirrz/results/cs_resubmit_rank_margin/garden/default_rank_margin_0_25/ckpts/ckpt_29999_rank0.pt,8193260,0.09043967723846436,0.16744384169578552,0.028037438169121742,3.515118862651434e-08,0.9999999403953552,0.796578804634946,-700585.5,4.341858993228698e-08,4.888407456604682e-08,5.2361643554377225e-08,6.040289335373927e-08,7.830505666106546e-08,0.0815937016159296,0.3925157964229585,0.4557040363550186,0.5723642492294312,0.7424839441199229,0.7547008150601836,0.7985361138301482,0.9719408391775679
garden,default_rank_margin_0_50,default,/scratch/amirrz/results/cs_resubmit_rank_margin/garden/default_rank_margin_0_50,/scratch/amirrz/results/cs_resubmit_rank_margin/garden/default_rank_margin_0_50/ckpts/ckpt_29999_rank0.pt,8146790,0.09155089408159256,0.16914162039756775,0.028608888387680054,3.554952954232249e-08,0.9999999403953552,0.7957688165461605,-699819.5,4.3376412790507854e-08,4.883761466345504e-08,5.230252355659104e-08,6.031778987392045e-08,7.815084757112345e-08,0.0848653931170702,0.3944026827812195,0.4583989605307579,0.5817981350421909,0.7418848405322833,0.7536853165479901,0.796012662656089,0.970284983410644
garden,default_rank_margin_1_00,default,/scratch/amirrz/results/cs_resubmit_rank_margin/garden/default_rank_margin_1_00,/scratch/amirrz/results/cs_resubmit_rank_margin/garden/default_rank_margin_1_00/ckpts/ckpt_29999_rank0.pt,8151961,0.09398896992206573,0.17579929530620575,0.03090539388358593,3.5155760969018957e-08,1.0,0.7975653381451722,-701114.5625,4.3413270134351476e-08,4.887358784344542e-08,5.2332904232343935e-08,6.038767708105297e-08,7.833465076600987e-08,0.09090816229581833,0.39743468165397644,0.4632928669452667,0.6070776104927065,0.7405815606821475,0.7522107870731962,0.794315993415572,0.9675054873299811
