stage,selector,sweep,threshold,target_fraction,trial,num_splats,total_splats,fraction,compression_ratio,avg_opacity_kept,avg_opacity_all,splat_mem_mb,confidence_mem_mb,render_mem_mb,psnr,ssim,lpips,render_time_s,avg_conf_kept,avg_conf_all,psnr_base,ssim_base,lpips_base,psnr_drop,ssim_drop,lpips_delta,scene,variant,config,result_dir
val,confidence,threshold,0.0,,0,8268593,8268593,1.0,1.0,0.2595911622047424,0.2595911622047424,1924.072925567627,63.08435821533203,1860.988567352295,27.221630096435547,0.8588961362838745,0.085580013692379,0.0101918379465738,0.0897892862558364,0.0897892862558364,27.221630096435547,0.8588961362838745,0.085580013692379,0.0,0.0,0.0,garden,default_rank_margin_0_00,default,/scratch/amirrz/results/cs_resubmit_rank_margin/garden/default_rank_margin_0_00
val,confidence,threshold,0.05,,0,2128122,8268593,0.2573741385021611,3.885394258411877,0.8099961280822754,0.2595911622047424,495.2066116333008,16.236282348632812,478.970329284668,27.2065486907959,0.858715295791626,0.0856334865093231,0.0046532452106475,0.3477676212787628,0.0897892862558364,27.221630096435547,0.8588961362838745,0.085580013692379,0.0150814056396484,0.0001808404922485,5.347281694412232e-05,garden,default_rank_margin_0_00,default,/scratch/amirrz/results/cs_resubmit_rank_margin/garden/default_rank_margin_0_00
val,confidence,threshold,0.1,,0,2023033,8268593,0.2446647210716502,4.087225962206252,0.81969153881073,0.2595911622047424,470.7527656555176,15.43451690673828,455.3182487487793,27.10938262939453,0.858059823513031,0.0860513150691986,0.0044791003068288,0.3619094491004944,0.0897892862558364,27.221630096435547,0.8588961362838745,0.085580013692379,0.1122474670410156,0.0008363127708435,0.0004713013768196,garden,default_rank_margin_0_00,default,/scratch/amirrz/results/cs_resubmit_rank_margin/garden/default_rank_margin_0_00
val,confidence,threshold,0.15,,0,1909628,8268593,0.2309495702594141,4.329949602749855,0.832114577293396,0.2595911622047424,444.3638153076172,14.569305419921877,429.7945098876953,26.94740867614746,0.8565616607666016,0.0870243459939956,0.0043384929498036,0.3759688436985016,0.0897892862558364,27.221630096435547,0.8588961362838745,0.085580013692379,0.2742214202880859,0.0023344755172729,0.0014443323016166,garden,default_rank_margin_0_00,default,/scratch/amirrz/results/cs_resubmit_rank_margin/garden/default_rank_margin_0_00
val,confidence,threshold,0.2,,0,1788991,8268593,0.2163597845485924,4.621931021452875,0.8452355265617371,0.2595911622047424,416.2920036315918,13.648918151855469,402.6430854797363,26.710186004638672,0.8537885546684265,0.0888802930712699,0.0041926403840382,0.3894980251789093,0.0897892862558364,27.221630096435547,0.8588961362838745,0.085580013692379,0.511444091796875,0.0051075816154479,0.0033002793788909,garden,default_rank_margin_0_00,default,/scratch/amirrz/results/cs_resubmit_rank_margin/garden/default_rank_margin_0_00
val,confidence,threshold,0.3,,0,1465829,8268593,0.1772767144301334,5.640898767864464,0.8758649826049805,0.2595911622047424,341.0933265686035,11.183387756347656,329.90993881225586,25.7746639251709,0.8364862203598022,0.1000792607665062,0.0037968158721923,0.4190534949302673,0.0897892862558364,27.221630096435547,0.8588961362838745,0.085580013692379,1.4469661712646484,0.0224099159240722,0.0144992470741271,garden,default_rank_margin_0_00,default,/scratch/amirrz/results/cs_resubmit_rank_margin/garden/default_rank_margin_0_00
val,confidence,threshold,0.4,,0,756028,8268593,0.0914336937372537,10.936887258143878,0.928749144077301,0.2595911622047424,175.9250946044922,5.768035888671875,170.1570587158203,19.75493621826172,0.6457643508911133,0.2255521267652511,0.0027029712994893,0.4807583689689636,0.0897892862558364,27.221630096435547,0.8588961362838745,0.085580013692379,7.466693878173828,0.2131317853927612,0.1399721130728721,garden,default_rank_margin_0_00,default,/scratch/amirrz/results/cs_resubmit_rank_margin/garden/default_rank_margin_0_00
val,confidence,threshold,0.5,,0,223866,8268593,0.0270742555595613,36.93545692512485,0.9735578894615172,0.2595911622047424,52.09284210205078,1.7079620361328125,50.38488006591797,12.273752212524414,0.2825133800506592,0.4980039000511169,0.0013934969902038,0.5717012882232666,0.0897892862558364,27.221630096435547,0.8588961362838745,0.085580013692379,14.947877883911133,0.5763827562332153,0.4124238863587379,garden,default_rank_margin_0_00,default,/scratch/amirrz/results/cs_resubmit_rank_margin/garden/default_rank_margin_0_00
val,confidence,threshold,0.6,,0,53700,8268593,0.0064944543769417,153.9775232774674,0.9800505042076112,0.2595911622047424,12.495803833007812,0.409698486328125,12.086105346679688,8.6743803024292,0.1003772243857383,0.6545851230621338,0.0011886656284332,0.6757997274398804,0.0897892862558364,27.221630096435547,0.8588961362838745,0.085580013692379,18.547249794006348,0.7585189118981361,0.5690051093697548,garden,default_rank_margin_0_00,default,/scratch/amirrz/results/cs_resubmit_rank_margin/garden/default_rank_margin_0_00
val,confidence,threshold,0.7,,0,14144,8268593,0.0017105691379416,584.6007494343892,0.9832575917243958,0.2595911622047424,3.291259765625,0.10791015625,3.183349609375,7.52963399887085,0.0465285591781139,0.7408685088157654,0.000973234574,0.7814191579818726,0.0897892862558364,27.221630096435547,0.8588961362838745,0.085580013692379,19.691996097564697,0.8123675771057606,0.6552884951233864,garden,default_rank_margin_0_00,default,/scratch/amirrz/results/cs_resubmit_rank_margin/garden/default_rank_margin_0_00
