variant,final_scene,final_config,final_psnr,final_ssim,final_lpips,final_num_GS,final_render_mem_GB,auc_psnr_confidence,auc_ssim_confidence,auc_lpips_confidence_lower_better,min_keep_frac_psnr_drop_le_0_10,min_keep_frac_psnr_drop_le_0_25,min_keep_frac_psnr_drop_le_0_50,psnr_at_keep_25,psnr_at_keep_15,psnr_at_keep_10,psnr_at_keep_05,threshold_width_drop_le_0_25,threshold_width_drop_le_0_50,conf_mean,conf_std,conf_var,conf_gini,conf_q05,conf_q50,conf_q95,frac_conf_lt_0_05,frac_conf_lt_0_1,frac_conf_lt_0_25,frac_conf_lt_0_5,beta_entropy
default_full_beta,garden,default,27.127750396728516,0.856802403926849,0.08658434450626301,8151942.0,1.791732676327228,26.167523835834707,0.8290119524064817,0.10540151870564408,0.25,0.25,0.25,27.03929901123047,23.96438217163086,19.918609619140625,14.90133285522461,0.15,0.2,0.09811574965715408,0.18582528829574585,0.034531038254499435,0.7990921193801246,4.890006657376489e-08,7.839926041697254e-08,0.4710223793983457,0.737618471770285,0.7491266498216008,0.7904262567128176,0.9631166414088814,-702867.6875
default_no_entropy,garden,default,27.215681076049805,0.8583628535270691,0.085396133363246,8100770.0,1.780485473573207,26.267548310129268,0.832229179771323,0.10309075877854697,0.35,0.25,0.25,26.966781616210938,24.003013610839844,20.29251289367676,15.66657257080078,0.15,0.2,0.10349444299936295,0.1706029623746872,0.02910536900162697,0.7582367994881571,1.6652046269882703e-05,0.0004851003614021465,0.4571961671113967,0.6802057088400238,0.7078648079133218,0.7801246054387423,0.9715671473205634,-2021.646728515625
default_no_ranking,garden,default,27.20049285888672,0.8583299517631531,0.08597358316183,8260787.0,1.815655950456857,26.313728458002995,0.8331729197188428,0.10283209403094491,0.25,0.25,0.25,27.138160705566406,24.44112205505371,20.51290512084961,15.406062126159668,0.15,0.2,0.09000447392463684,0.16681823134422302,0.02782832272350788,0.7969168589629279,4.8901648952437426e-08,7.855401662482109e-08,0.4536089539527888,0.7425512847625777,0.7549803668827195,0.7996305920973389,0.97269691132334,-699988.375
default_no_sparsity,garden,default,27.377548217773438,0.8633615374565121,0.07743916660547201,5540829.0,1.217830594629049,12.995551786924665,0.30474385643672,0.48618050488202197,1.0,1.0,1.0,7.908726692199707,7.598972320556641,7.358795166015625,7.044254302978516,0.4,0.4,0.8096299171447754,0.24522721767425537,0.06013638526201248,0.15355350443354565,0.4428087413311005,0.9999998807907104,0.9999999403953552,0.020245165479750412,0.020793639363351584,0.023056838606641712,0.11826515490732524,-521776.25
default_scalar_conf,garden,default,27.227462768554688,0.8588536977767941,0.085244268178939,7861075.0,1.727802399545908,26.207207980908848,0.8306595494872645,0.10420693319879078,0.35,0.35,0.25,26.890670776367188,23.5556697845459,19.911304473876957,15.45261573791504,0.15,0.2,0.11071211099624634,0.17390534281730652,0.030243070796132088,0.7406396395625541,2.9760114921373317e-05,0.0008868614095263183,0.4606609344482422,0.6615186854215231,0.68793962657779,0.7638314098262642,0.9714811269451061,
default_vanilla,garden,default,27.37082290649414,0.8635234236717221,0.076800569891929,5825480.0,1.28039464354515,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
