scene,variant,target_fraction,confidence_psnr,opacity_psnr,confidence_minus_opacity_psnr,random_psnr,confidence_minus_random_psnr
garden,default_full_beta,0.05,14.90133285522461,10.53330421447754,4.3680286407470685,8.731047630310059,6.170285224914551
garden,default_full_beta,0.1,19.918609619140625,15.50395965576172,4.4146499633789045,10.157820701599121,9.760788917541504
garden,default_full_beta,0.15,23.96438217163086,20.47354888916016,3.4908332824706996,11.396165211995443,12.568216959635416
garden,default_full_beta,0.25,27.03929901123047,25.37575340270996,1.6635456085205078,13.669297218322754,13.370001792907715
garden,default_full_beta,0.35,27.12775039672852,27.126930236816406,0.0008201599121129277,15.80932871500651,11.31842168172201
garden,default_full_beta,0.5,27.12775039672852,27.127758026123047,-7.629394527697286e-06,18.862843195597332,8.264907201131187
garden,default_full_beta,0.75,27.12775039672852,27.127758026123047,-7.629394527697286e-06,23.571730931599934,3.5560194651285855
garden,default_full_beta,1.0,27.12775039672852,27.12775039672852,0.0,27.12775039672852,0.0
garden,default_no_entropy,0.05,15.66657257080078,10.557867050170898,5.108705520629881,8.68855349222819,6.97801907857259
garden,default_no_entropy,0.1,20.29251289367676,15.511446952819824,4.781065940856937,10.163686116536459,10.128826777140302
garden,default_no_entropy,0.15,24.003013610839844,20.368114471435547,3.634899139404297,11.4126828511556,12.590330759684244
garden,default_no_entropy,0.25,26.966781616210938,26.536060333251957,0.4307212829589808,13.717798550923666,13.248983065287272
garden,default_no_entropy,0.35,27.215681076049805,27.215057373046875,0.0006237030029296875,15.876651446024576,11.339029630025228
garden,default_no_entropy,0.5,27.215681076049805,27.21554183959961,0.0001392364501953125,18.940930048624676,8.274751027425129
garden,default_no_entropy,0.75,27.215681076049805,27.21554183959961,0.0001392364501953125,23.682230631510418,3.533450444539387
garden,default_no_entropy,1.0,27.215681076049805,27.215681076049805,0.0,27.215681076049805,0.0
garden,default_no_ranking,0.05,15.406062126159668,10.371589660644531,5.034472465515137,8.668782869974772,6.737279256184896
garden,default_no_ranking,0.1,20.51290512084961,15.664100646972656,4.848804473876953,10.096982955932617,10.415922164916992
garden,default_no_ranking,0.15,24.44112205505371,20.939359664916992,3.5017623901367188,11.350153287251791,13.09096876780192
garden,default_no_ranking,0.25,27.138160705566406,25.88309860229492,1.255062103271488,13.664390246073404,13.473770459493002
garden,default_no_ranking,0.35,27.20049285888672,27.20049095153809,1.9073486292597863e-06,15.82519499460856,11.375297864278158
garden,default_no_ranking,0.5,27.20049285888672,27.200496673583984,-3.814697265625e-06,18.8953062693278,8.305186589558918
garden,default_no_ranking,0.75,27.20049285888672,27.200496673583984,-3.814697265625e-06,23.63781674702962,3.5626761118570975
garden,default_no_ranking,1.0,27.20049285888672,27.20049285888672,0.0,27.20049285888672,0.0
garden,default_no_sparsity,0.05,7.044254302978516,10.608790397644045,-3.564536094665529,8.950681686401367,-1.9064273834228516
garden,default_no_sparsity,0.1,7.358795166015625,13.622634887695312,-6.2638397216796875,10.517814636230469,-3.1590194702148438
garden,default_no_sparsity,0.15,7.598972320556641,16.228017807006836,-8.629045486450195,11.868630409240723,-4.269658088684082
garden,default_no_sparsity,0.25,7.908726692199707,20.62905502319336,-12.720328330993652,14.3227170308431,-6.4139903386433925
garden,default_no_sparsity,0.35,8.109940528869629,24.180644989013672,-16.070704460144043,16.60094960530599,-8.49100907643636
garden,default_no_sparsity,0.5,8.592765808105469,26.70857810974121,-18.115812301635742,19.736024220784504,-11.143258412679035
garden,default_no_sparsity,0.75,17.14577293395996,27.35938835144043,-10.213615417480469,24.254376729329426,-7.108603795369465
garden,default_no_sparsity,1.0,27.37754821777344,27.37754821777344,0.0,27.37754821777344,0.0
garden,default_scalar_conf,0.05,15.45261573791504,10.379443168640137,5.073172569274904,8.729218482971191,6.723397254943849
garden,default_scalar_conf,0.1,19.911304473876957,15.135255813598633,4.776048660278324,10.159417470296225,9.751887003580732
garden,default_scalar_conf,0.15,23.5556697845459,19.876617431640625,3.6790523529052734,11.435479482014975,12.120190302530924
garden,default_scalar_conf,0.25,26.890670776367188,26.41576194763184,0.474908828735348,13.72073777516683,13.169933001200357
garden,default_scalar_conf,0.35,27.227468490600582,27.22455406188965,0.0029144287109339473,15.883162180582682,11.3443063100179
garden,default_scalar_conf,0.5,27.227462768554688,27.227148056030277,0.0003147125244105098,18.96779441833496,8.259668350219727
garden,default_scalar_conf,0.75,27.227462768554688,27.227148056030277,0.0003147125244105098,23.687379837036133,3.5400829315185547
garden,default_scalar_conf,1.0,27.227462768554688,27.227462768554688,0.0,27.227462768554688,0.0
