stage,selector,sweep,threshold,target_fraction,trial,num_splats,total_splats,fraction,compression_ratio,avg_opacity_kept,avg_opacity_all,splat_mem_mb,confidence_mem_mb,render_mem_mb,psnr,ssim,lpips,render_time_s,avg_conf_kept,avg_conf_all,psnr_base,ssim_base,lpips_base,psnr_drop,ssim_drop,lpips_delta,scene,variant,config,result_dir
val,opacity,threshold,0.0,,0,5825480,5825480,1.0,1.0,0.3297496736049652,0.3297496736049652,1311.1241149902344,0.0,1311.1241149902344,27.37082290649414,0.8635234236717224,0.0768005698919296,0.0074371298154195,,,27.37082290649414,0.8635234236717224,0.0768005698919296,0.0,0.0,0.0,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
val,opacity,threshold,0.05,,0,3541457,5825480,0.6079253555071856,1.6449387921412006,0.5307230353355408,0.3297496736049652,797.0655937194824,0.0,797.0655937194824,27.00802230834961,0.8560118675231934,0.0843305587768554,0.0049074192841847,,,27.37082290649414,0.8635234236717224,0.0768005698919296,0.3628005981445312,0.007511556148529,0.0075299888849258,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
val,opacity,threshold,0.1,,0,3023962,5825480,0.5190923323056641,1.926439551819765,0.6092639565467834,0.3297496736049652,680.5944747924805,0.0,680.5944747924805,26.363529205322266,0.8449124097824097,0.0937088951468467,0.0041906734307607,,,27.37082290649414,0.8635234236717224,0.0768005698919296,1.007293701171875,0.0186110138893127,0.0169083252549171,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
val,opacity,threshold,0.15,,0,2725036,5825480,0.4677787924771864,2.137762583686968,0.662553608417511,0.3297496736049652,613.3160552978516,0.0,613.3160552978516,25.64076232910156,0.8303701281547546,0.1054770946502685,0.0037005146344502,,,27.37082290649414,0.8635234236717224,0.0768005698919296,1.730060577392578,0.0331532955169677,0.0286765247583389,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
val,opacity,threshold,0.2,,0,2503702,5825480,0.4297846701044377,2.326746553703276,0.7057456970214844,0.3297496736049652,563.5010452270508,0.0,563.5010452270508,24.97396469116211,0.8138312697410583,0.1186317801475524,0.0033934414386749,,,27.37082290649414,0.8635234236717224,0.0768005698919296,2.3968582153320312,0.049692153930664,0.0418312102556228,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
val,opacity,threshold,0.3,,0,2174542,5825480,0.3732811716802736,2.678945727422142,0.7751578092575073,0.3297496736049652,489.4179458618164,0.0,489.4179458618164,23.69512176513672,0.7751616835594177,0.1485755145549774,0.0029133359591166,,,27.37082290649414,0.8635234236717224,0.0768005698919296,3.675701141357422,0.0883617401123046,0.0717749446630477,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
val,opacity,threshold,0.4,,0,1924946,5825480,0.3304356035897471,3.026308270465769,0.830530047416687,0.3297496736049652,433.2420883178711,0.0,433.2420883178711,22.527645111083984,0.7321412563323975,0.1807622909545898,0.0026142001152038,,,27.37082290649414,0.8635234236717224,0.0768005698919296,4.843177795410156,0.1313821673393249,0.1039617210626602,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
val,opacity,threshold,0.5,,0,1719494,5825480,0.2951677801657545,3.387903650725155,0.8761659860610962,0.3297496736049652,387.001594543457,0.0,387.001594543457,21.414875030517575,0.684912383556366,0.2150220572948455,0.0023932655652364,,,27.37082290649414,0.8635234236717224,0.0768005698919296,5.9559478759765625,0.1786110401153564,0.1382214874029159,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
val,opacity,threshold,0.6,,0,1541664,5825480,0.2646415402679264,3.778696265853001,0.91390198469162,0.3297496736049652,346.9779052734375,0.0,346.9779052734375,20.3299617767334,0.6337400674819946,0.2514017820358276,0.0022098819414774,,,27.37082290649414,0.8635234236717224,0.0768005698919296,7.040861129760742,0.2297833561897277,0.174601212143898,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
val,opacity,threshold,0.7,,0,1381739,5825480,0.2371888668401574,4.216049485467226,0.9445323348045348,0.3297496736049652,310.9840431213379,0.0,310.9840431213379,19.263172149658203,0.5794472694396973,0.2906512022018432,0.0020370483398437,,,27.37082290649414,0.8635234236717224,0.0768005698919296,8.107650756835938,0.2840761542320251,0.2138506323099136,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
val,opacity,threshold,0.8,,0,1229498,5825480,0.2110552263504466,4.7380963612791565,0.9686170816421508,0.3297496736049652,276.71959686279297,0.0,276.71959686279297,18.14794158935547,0.5220602750778198,0.3317338526248932,0.0018800397713979,,,27.37082290649414,0.8635234236717224,0.0768005698919296,9.222881317138672,0.3414631485939026,0.2549332827329635,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
val,opacity,threshold,0.9,,0,1067689,5825480,0.1832791460961156,5.456158113458132,0.9863635301589966,0.3297496736049652,240.30170822143555,0.0,240.30170822143555,16.894594192504883,0.4585931301116943,0.3765222430229187,0.0017026762167612,,,27.37082290649414,0.8635234236717224,0.0768005698919296,10.476228713989258,0.4049302935600281,0.2997216731309891,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
val,opacity,budget,,1.0,0,5825480,5825480,1.0,1.0,0.3297496736049652,0.3297496736049652,1311.1241149902344,0.0,1311.1241149902344,27.37082290649414,0.8635234236717224,0.0768005698919296,0.0073829293251037,,,27.37082290649414,0.8635234236717224,0.0768005698919296,0.0,0.0,0.0,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
val,opacity,budget,,0.75,0,4369110,5825480,0.75,1.3333333333333333,0.436315506696701,0.3297496736049652,983.3430862426758,0.0,983.3430862426758,27.31366539001465,0.8617603778839111,0.0787791460752487,0.0058310429255167,,,27.37082290649414,0.8635234236717224,0.0768005698919296,0.0571575164794921,0.0017630457878112,0.001978576183319,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
val,opacity,budget,,0.5,0,2912740,5825480,0.5,2.0,0.6284018754959106,0.3297496736049652,655.5620574951172,0.0,655.5620574951172,26.128591537475582,0.8404698371887207,0.0973756164312362,0.0040023525555928,,,27.37082290649414,0.8635234236717224,0.0768005698919296,1.242231369018555,0.0230535864830017,0.0205750465393066,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
val,opacity,budget,,0.35,0,2038918,5825480,0.35,2.857142857142857,0.8050870895385742,0.3297496736049652,458.893440246582,0.0,458.893440246582,23.0794677734375,0.7533606290817261,0.1651930809020996,0.0027383565902709,,,27.37082290649414,0.8635234236717224,0.0768005698919296,4.291355133056641,0.1101627945899963,0.0883925110101699,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
val,opacity,budget,,0.25,0,1456370,5825480,0.25,4.0,0.9307687282562256,0.3297496736049652,327.7810287475586,0.0,327.7810287475586,19.77068901062012,0.6055853366851807,0.272176593542099,0.0021072626113891,,,27.37082290649414,0.8635234236717224,0.0768005698919296,7.600133895874023,0.2579380869865417,0.1953760236501693,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
val,opacity,budget,,0.15,0,873822,5825480,0.15,6.666666666666667,0.9961403608322144,0.3297496736049652,196.6686172485352,0.0,196.6686172485352,15.472463607788086,0.3888815641403198,0.4256212115287781,0.0015618701775868,,,27.37082290649414,0.8635234236717224,0.0768005698919296,11.898359298706056,0.4746418595314026,0.3488206416368484,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
val,opacity,budget,,0.1,0,582548,5825480,0.1,10.0,0.9993770718574524,0.3297496736049652,131.11241149902344,0.0,131.11241149902344,13.46002960205078,0.2934218943119049,0.4921177327632904,0.0012861390908559,,,27.37082290649414,0.8635234236717224,0.0768005698919296,13.91079330444336,0.5701015293598175,0.4153171628713608,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
val,opacity,budget,,0.05,0,291274,5825480,0.05,20.0,0.9998915195465088,0.3297496736049652,65.55620574951172,0.0,65.55620574951172,10.93610954284668,0.1731377840042114,0.5660163164138794,0.0010208090146382,,,27.37082290649414,0.8635234236717224,0.0768005698919296,16.43471336364746,0.690385639667511,0.4892157465219497,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
val,random,budget,,1.0,0,5825480,5825480,1.0,1.0,0.3297496736049652,0.3297496736049652,1311.1241149902344,0.0,1311.1241149902344,27.37082290649414,0.8635234236717224,0.0768005698919296,0.0073309242725372,,,27.37082290649414,0.8635234236717224,0.0768005698919296,0.0,0.0,0.0,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
val,random,budget,,0.75,0,4369110,5825480,0.75,1.3333333333333333,0.3297888040542602,0.3297496736049652,983.3430862426758,0.0,983.3430862426758,24.722640991210938,0.7795149683952332,0.1315143406391143,0.0056771039962768,,,27.37082290649414,0.8635234236717224,0.0768005698919296,2.648181915283203,0.0840084552764892,0.0547137707471847,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
val,random,budget,,0.5,0,2912740,5825480,0.5,2.0,0.3299508392810821,0.3297496736049652,655.5620574951172,0.0,655.5620574951172,20.625675201416016,0.6320118308067322,0.2375675290822982,0.0040628512700398,,,27.37082290649414,0.8635234236717224,0.0768005698919296,6.745147705078125,0.2315115928649902,0.1607669591903686,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
val,random,budget,,0.35,0,2038918,5825480,0.35,2.857142857142857,0.3300773501396179,0.3297496736049652,458.893440246582,0.0,458.893440246582,17.57054901123047,0.5027016401290894,0.3334938883781433,0.0030455489953358,,,27.37082290649414,0.8635234236717224,0.0768005698919296,9.800273895263672,0.360821783542633,0.2566933184862137,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
val,random,budget,,0.25,0,1456370,5825480,0.25,4.0,0.3299707472324371,0.3297496736049652,327.7810287475586,0.0,327.7810287475586,15.21179485321045,0.3936189115047455,0.4108388423919678,0.0023952623208363,,,27.37082290649414,0.8635234236717224,0.0768005698919296,12.159028053283691,0.4699045121669769,0.3340382725000381,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
val,random,budget,,0.15,0,873822,5825480,0.15,6.666666666666667,0.3302378356456756,0.3297496736049652,196.6686172485352,0.0,196.6686172485352,12.55292797088623,0.2633072137832641,0.501339852809906,0.001756598552068,,,27.37082290649414,0.8635234236717224,0.0768005698919296,14.81789493560791,0.6002162098884583,0.4245392829179764,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
val,random,budget,,0.1,0,582548,5825480,0.1,10.0,0.3298289477825165,0.3297496736049652,131.11241149902344,0.0,131.11241149902344,10.99654769897461,0.1872153282165527,0.5514559745788574,0.0014190773169199,,,27.37082290649414,0.8635234236717224,0.0768005698919296,16.37427520751953,0.6763080954551697,0.4746554046869278,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
val,random,budget,,0.05,0,291274,5825480,0.05,20.0,0.3291040360927582,0.3297496736049652,65.55620574951172,0.0,65.55620574951172,9.19736671447754,0.1009494513273239,0.6068882346153259,0.0011164943377176,,,27.37082290649414,0.8635234236717224,0.0768005698919296,18.1734561920166,0.7625739723443985,0.5300876647233963,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
val,random,budget,,1.0,1,5825480,5825480,1.0,1.0,0.3297496736049652,0.3297496736049652,1311.1241149902344,0.0,1311.1241149902344,27.37082290649414,0.8635234236717224,0.0768005698919296,0.0073355734348297,,,27.37082290649414,0.8635234236717224,0.0768005698919296,0.0,0.0,0.0,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
val,random,budget,,0.75,1,4369110,5825480,0.75,1.3333333333333333,0.3296834528446197,0.3297496736049652,983.3430862426758,0.0,983.3430862426758,24.73263359069824,0.7799063920974731,0.1321392655372619,0.0057040254275004,,,27.37082290649414,0.8635234236717224,0.0768005698919296,2.6381893157958984,0.0836170315742492,0.0553386956453323,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
val,random,budget,,0.5,1,2912740,5825480,0.5,2.0,0.3295488655567169,0.3297496736049652,655.5620574951172,0.0,655.5620574951172,20.660614013671875,0.6337376832962036,0.2366874814033508,0.0040416816870371,,,27.37082290649414,0.8635234236717224,0.0768005698919296,6.710208892822266,0.2297857403755188,0.1598869115114212,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
val,random,budget,,0.35,1,2038918,5825480,0.35,2.857142857142857,0.329362690448761,0.3297496736049652,458.893440246582,0.0,458.893440246582,17.543264389038086,0.5035814046859741,0.3312715291976928,0.0031124750773111,,,27.37082290649414,0.8635234236717224,0.0768005698919296,9.827558517456056,0.3599420189857483,0.2544709593057632,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
val,random,budget,,0.25,1,1456370,5825480,0.25,4.0,0.3294545710086822,0.3297496736049652,327.7810287475586,0.0,327.7810287475586,15.210454940795898,0.3951393067836761,0.4095956981182098,0.0023838977018992,,,27.37082290649414,0.8635234236717224,0.0768005698919296,12.160367965698242,0.4683841168880462,0.3327951282262802,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
val,random,budget,,0.15,1,873822,5825480,0.15,6.666666666666667,0.3295530676841736,0.3297496736049652,196.6686172485352,0.0,196.6686172485352,12.51449966430664,0.2627796828746795,0.4995445609092712,0.0018205742041269,,,27.37082290649414,0.8635234236717224,0.0768005698919296,14.8563232421875,0.6007437407970428,0.4227439910173416,garden,default_vanilla,default,/scratch/amirrz/results/cs_resubmit/garden/default_vanilla
